"price","title"
"400,000 AED/year","Highly Furnished | Palm Views | Upgraded"
"370,000 AED/year","Upgraded - Luxury Furnished - Sea View"
"280,000 AED/year","Luxury 2 BR Next To Tram And Marina Mall"
"280,000 AED/year","Incredible Views | Vacant | 5 Star"
"280,000 AED/year","2 Bedroom Apartment For Rent In Marina"
"280,000 AED/year","Stunning 2 Bd To Rent In The Address Marina"
"265,000 AED/year","Brand New Premium Marina Apartment With Private Spa"
"265,000 AED/year","2 BR With Marina View I Address Marina"
"255,000 AED/year","Marina View L Fully Furnished 02 Bedroom"
"254,950 AED/year","2 Beds | Available Now | Fully Furnished"
"250,000 AED/year","Brand New Premium 2 Bedroom With Large Terrace"
"250,000 AED/year","Stunning|2BR| Marina View|High Floor|"
"245,000 AED/year","Fully Furnished - Amazing Views - Price Negotiable"
"243,000 AED/year","Marina View 2 Bed With Study And Balcony Silverene"
"240,000 AED/year","2 Bedroom | Canal View | AED 240,000!!!"
"235,000 AED/year","2 Bedroom | Canal View | AED 235,000!!!"
"225,000 AED/year","Brand New Premium 2 Bed Apartment +Terrace Dubai Marina"
"225,000 AED/year","Marina View 2BR + Study For Rent In Al Mesk!"
"220,000 AED/year","Fully Furnished 2BR + Study / Full Marina View From High Floor"
"220,000 AED/year","A LUXURY FURNISHED 2BR IN FAIROOZ EMAAR6"
"215,000 AED/year","Fully Furnished, Two Bedroom Plus Study, 215,000"
"210,000 AED/year","Full Marina View | Furnished 2BR + Study"
"210,000 AED/year","STUNNING | FULL MARINA VIEW | FULLY FURNISHED | AVAILABLE NOW"
"210,000 AED/year","Spacious Brand New 2 BR - Full Marina View"
"210,000 AED/year","2 Bedroom|Sheikh Zayed Rd|AED 210,000!!"
"210,000 AED/year","2 Bedroom | Marina View |AED 210,000.00"
"210,000 AED/year","Amazing 2Beds High Floors | Silverene Towers | Pool View"
"205,000 AED/year","Full Marina View, Well Furnished 2 BR, Al Mesk"
"205,000 AED/year","2 Bedroom|Marina View | AED 205,000.00!"
"205,000 AED/year","2 Bedroom | Marina View | AED 205,000!!"
"200,001 AED/year","Lovely 2 Bhk Apartment At Al Mesk Tower"
"200,000 AED/year","Impeccable View|2 Bed Apt W/ Wide Balcony"
"200,000 AED/year","FULL MARINA VIEWS IN BRAND NEW BUILDING."
"200,000 AED/year","Marina & Sea View | Furnished | 2 +study"
"200,000 AED/year","Full Marina View | Duplex | Unfurnished"
"200,000 AED/year","2 Bedroom | Marina View |AED 200,000.00"
"200,000 AED/year","Brand New Premium 2 Bedroom Apartment Dubai Marina"
"200,000 AED/year","Two Bedroom Premium Apartment With Full Marina Views"
"200,000 AED/year","Amazing View | Brand New | Dubai Marina."
